Title,Authors,Publish Date,Summary,Category
"El deterioro del mercado laboral de Estados Unidos es un factor de la caída de las remesas en México, dice experta",,09/06/2024,"Gabriela Siller Pagaza, directora de análisis económico en Banco Base y profesora de economía del TEC de Monterrey, explica dos de los factores que considera están afectando las remesas que llegan a México.",business
El IRS recauda US$ 1.300 millones en impuestos atrasados en EE.UU.,,09/06/2024,"En Estados Unidos, el Servicio de Rentas Internas recaudó US$ 1.300 millones en impuestos atrasados de los hogares ricos desde finales 2023.",business
OPINIÓN | El mundo según Pedro Almodóvar,,09/08/2024,"Pedro Almodóvar posa con el León de Oro por «La habitación de al lado» durante el 81º Festival Internacional de Cine de Venecia en el Palazzo del Cinema el 7 de septiembre de 2024 en Venecia, Italia.
Sus artículos han aparecido en medios de todo el mundo, como El País, The New York Times, el Miami Herald, El Mundo y La Vanguardia.
La banda sonora en la obra de Pedro Almodóvar posee gran protagonismo.
¿Por qué es tan importante la música en la obra de Almodóvar?
Todo eso y más forma parte de nuestra ilusión sensorial al asomarnos a la proyección del mundo según Pedro Almodóvar.",business
La NFL anuncia que Kendrick Lamar será el artista en el medio tiempo del Super Bowl LIX,,09/08/2024,"Comienza la NFL: estos son los 5 favoritos para ganar el Super Bowl LIX 2:07(CNN) -- En este domingo de apertura de la temporada 2024, la NFL anunció que Kendrick Lamar, rapero ganador del Grammy, cerrará como el artista del medio tiempo en el Super Bowl LIX el 9 de febrero de 2025, en el Superdome en Nueva Orleans, Louisiana.
Eligieron al indicado”, dijo Lamar en el comunicado de prensa de la NFL.
New Orleans.https://t.co/RwqVLDGdgf — Kendrick Lamar (@kendricklamar) September 8, 2024publicidadShawn “Jay-Z” Carter, quien ayuda a producir el espectáculo de medio tiempo para la NFL, elogió las cualidades de Lamar.
“Kendrick Lamar es verdaderamente un artista e intérprete único en su generación”, dijo Carter.
El trabajo de Kendrick trasciende la música, y su impacto se sentirá durante años”.",business
"Martin Scorsese sobre su película ""Killers of the Flower Moon"": “La supervivencia es la clave”",,09/07/2024,"La película de 2023 ""Killers of the Flower Moon"", de Martin Scorsese, es el recuento de un sangriento capítulo en la historia de Estados Unidos.
Juan Carlos Arciniegas habló con el famoso director de cine en una exclusiva entrevista.",business
Taylor Swift aparece de nuevo en un partido de la NFL para apoyar a Travis Kelce,,09/06/2024,"Taylor Swift fue vista en el partido inaugural de la NFL apoyando a Travis Kelce y su equipo, los Kansas City Chiefs, quienes resultaron victoriosos contra los Baltimore Ravens.",business
¿Cómo reconocer un video creado por inteligencia artificial? Experto explica las pistas que lo delatan,,09/08/2024,"El profesor Siwei Lyu, de la Universidad de Buffalo, creó la plataforma abierta DeepFake-o-meter para detectar audios, fotos y videos falsos.
En entrevista, explica cómo reconocer las pistas que delatan a un video creado por inteligencia artificial.",business
Qué esperar del nuevo iPhone que se presentará en un evento de Apple del lunes,Gonzalo Zegarra,09/07/2024,"Teléfonos iPhone 15 en la Apple Store de The Grove el día de su lanzamiento en Los Ángeles, California, el 22 de septiembre de 2023.
Apple se enfrenta a una gran presión antes del evento para demostrar que las nuevas funciones de inteligencia artificial y otras actualizaciones del iPhone 16 merecen la pena.
publicidadComo consecuencia, las ventas del iPhone, que representan la mitad de los ingresos de la empresa, han sido flojas.
""Algo distinto en los nuevos iPhones que comunique a los consumidores que 'yo tengo el nuevo iPhone y tú no', lo que no ha sido el caso en los últimos cuatro años"", dijo.
Otros dispositivosSe rumorea que Apple también podría anunciar actualizaciones del Apple Watch y los AirPods.",business
Mira el momento en que la cápsula no tripulada Starliner de Boeing regresa a Tierra,,09/07/2024,"La nave espacial Starliner de Boeing lanzó su primer vuelo histórico tripulado en junio y ha regresado, sin su tripulación, “sana y salva al suelo del desierto”, según los presentadores de la transmisión de la NASA.
El informe de Kristin Fisher de CNN.",business
Estados Unidos enfrenta la mayor oleada de covid-19 de verano en al menos dos años,Alexandra Ferguson,08/16/2024,"""La oleada de covid-19 de este año está llegando antes que la del año pasado, que se produjo a finales de agosto/principios de septiembre"".
Marlene Wolfe, profesora adjunta de Salud Medioambiental y Salud Pública en la Universidad de Emory y directora del programa WastewaterSCAN.
""Ahora mismo estamos detectando SARS-CoV-2 en el 100% de nuestras muestras en todo el país"".
Alexandria Boehm, profesora de Ingeniería Civil y Ambiental en la Universidad de Stanford y directora del programa para WastewaterSCAN.
""No podemos decir exactamente cuántos casos más puede haber en comparación con años anteriores, porque algunos de esos cambios podrían haberse producido en el virus en las zonas que estamos midiendo"", dijo.",business
El covid-19 volvió: ¿deberías preocuparte?,Rocío Muñoz-Ledo,07/16/2024,"En México, en las últimas tres semanas se ha registrado un repunte en los casos positivos de covid-19.
Las personas que deben preocuparse especialmente son las de edad avanzada, las inmunodeprimidas o las que padecen múltiples afecciones cardiacas, pulmonares, renales o de otro tipo.
CNN: Hablando de pruebas, ¿siguen siendo las pruebas caseras una buena forma de diagnosticar el covid-19 si alguien presenta síntomas?
Por ejemplo, ponte una mascarilla al subir al avión y en los trenes en los que solo se pueda estar de pie.
CNN: Mucha gente está deseando ponerse otra vacuna contra el covid-19 para protegerse mejor durante la ola de verano.",business
Cofepris aprueba la vacuna mexicana Patria contra el covid-19,Ángela Reyes Haczek,06/07/2024,"Lo que debes saber sobre KP.2, la nueva variante del covid-19 1:42(CNN Español) -- La Comisión Federal para la Protección contra Riesgos Sanitarios (Cofepris) informó este jueves a través de un comunicado que autorizó para uso de emergencia la vacuna Patria contra el covid-19, elaborada por Laboratorio Avimex S.A. de C.V.La comisión añadió que la autorización se ha dado como resultado del ""riguroso análisis técnico"" realizado por el personal especializado de Cofepris.
Las autoridades agregaron que la vacuna Patria fue sometida a una evaluación de desempeño clínico, la cual fue de carácter público y cuya resolución fue favorable de manera unánime.
Cofepris añadió que el equipo multidisciplinario de dictamen de su equipo de especialistas confirmó que la vacuna mexicana Patria contra el covid-19, del laboratorio Avimex, cumple con los ""más altos estándares de calidad, seguridad y eficacia"", conforme a datos presentados en el expediente técnico ante la comisión que la revisó y permite su uso en las instituciones públicas que conforman el sector salud del país.
Con información de Fidel Gutiérrez.",business
"La variante FLiRT amenaza con una ola de covid-19 en EE.UU., pero los expertos dicen que el riesgo es incierto",Cnnespañol Sjv,05/17/2024,"publicidadLas mutaciones de las variantes FLiRT hacen que la mayor transmisibilidad —y una posible oleada en verano— sea una amenaza real.
El otoño y el invierno boreales representan un mayor riesgo debido a la inmunidad que se ha desarrollado en la población, dijo.
Una investigación publicada el miércoles en la revista médica JAMA es un recordatorio de la carga que covid-19 continúa teniendo en los EE.UU.
se reunirá para discutir recomendaciones para la versión de la vacuna contra la covid-19 que estará disponible este otoño boreal.
Pero en este momento, estamos realmente en un lugar muy bueno, el mejor lugar en el que hemos estado en mucho, mucho tiempo"", dijo Schaffner.",business
El análisis de la ceremonia de clausura de los Juegos Paralímpicos París 2024,,09/08/2024,"Hugo Manu Correa nos trae el análisis de lo que dejó la ceremonia de clausura de los Juegos Paralímpico de París 2024.
Además, hace un recuento de las medallas latinoamericanas en el último día de actividades.",business
Jannik Sinner vence a Taylor Fritz y se convierte en el primer hombre italiano que gana el US Open individual,Luis Ernesto Quintana Barney,09/08/2024,"Fritz, el número 12 del mundo, aspiraba a ser el primer estadounidense en ganar un título de Grand Slam en individuales en 21 años.
Andy Roddick, que estuvo presente el domingo, es el último estadounidense en hacerlo cuando triunfó en el US Open de 2003.
El triunfo de Sinner se produce en el contexto de su reciente caso de dopaje que se hizo público el 20 de agosto, una noticia que conmocionó al mundo del tenis.
En cambio, los grandes se dividieron entre Sinner y Carlos Alcaraz, y el español ganó el Abierto de Francia y Wimbledon.
En el Abierto de Estados Unidos de este año, Djokovic fue derrotado en la tercera ronda por Alexei Popyrin, mientras que Nadal no jugó.",business
"Dak Prescott, de los Dallas Cowboys, se convierte en el jugador mejor pagado en la historia de la NFL",,09/08/2024,"El acuerdo, según ESPN y The Athletic, incluye US$ 231 millones garantizados, lo que convierte a Prescott en el jugador mejor pagado de la NFL.
El jugador de 31 años se convierte en el primero en ganar US$ 60 millones por año.
La temporada pasada, Prescott lanzó 36 touchdowns, la mayor cantidad en la liga, convirtiéndose en el primer mariscal de campo de los Cowboys en hacerlo.
Prescott terminó con 4.516 yardas por pase, la tercera mayor cantidad en la NFL.
El tres veces jugador del Pro Bowl terminó segundo en la votación para el MVP de la NFL.",business
"Esta tenista asistiría a su boda, pero ganar el título de dobles femenino del US Open cambió sus planes",Sofía Barruti,09/08/2024,"Lyudmyla Kichenok (derecha) y Jelena Ostapenko celebran con el trofeo del US Open después de ganar la final de dobles femeninos.
Pero todo cambió cuando la jugadora ucraniana y su compañera de dobles Jelena Ostapenko siguieron ganando en el torneo de dobles femenino.
Tanto es así que consiguieron el título del Grand Slam este viernes, al vencer a Kristina Mladenovic y Zhang Shuai en sets seguidos en la final en el Estadio Arthur Ashe.
Kichenok y Ostapenko dominaron su camino hacia el título de dobles femenino del US Open, sin perder un solo set en todo el torneo.
Es su tercer título del año y, tras ello, Kichenok dedicó la victoria al “pueblo de Ucrania”.",business
Estos son los grandes ganadores de las eliminatorias sudamericanas,,09/07/2024,"Este jueves y viernes se llevó a cabo la fecha 7 de las eliminatorias sudamericanas rumbo a la Copa Mundial FIFA 2026, que se realizará en Estados Unidos, México y Canadá.",business
"Aryna Sabalenka, número 2 del mundo, gana el Abierto de EE.UU. a la estadounidense Jessica Pegula y conquista su tercer Grand Slam individual",Gonzalo Zegarra,09/07/2024,"Era el segundo año consecutivo que Sabalenka llegaba a la final del Abierto de Estados Unidos.
Hace un año, perdió ante Coco Gauff, y el público neoyorquino no estuvo del lado de la bielorrusa, animando ruidosamente a la estadounidense.
Pegula, por su parte, había hecho un gran avance en el US Open de este año.
Esas dos derrotas fueron ante Sabalenka: en la final del Abierto de Cincinnati el mes pasado y el sábado en su primera final individual de un Grand Slam.
Cuando Pegula entró a la cancha del estadio Arthur Ashe para la final, se quitó los audífonos y pareció empaparse del ruido del público tras ser presentada.",business
Un jugador de fútbol americano de una escuela de Florida muere tras un partido; suman siete jugadores muertos recientemente,Paulina Nares,09/07/2024,"""Es un joven excepcional del que se puede hacer un héroe"", dijo Norton.
El número de niños que se lesionan en el campo ha aumentado en los últimos años.
Su sonrisa irradiabaGainer anotó dos touchdowns en la noche de su muerte, dijo Norton, llevando al equipo a la victoria.
""Estaba entusiasmado hasta la muerte con la posibilidad de ir a Vanderbilt por la oportunidad educativa que le habría brindado"".
Gainer era cálido y tranquilo por naturaleza, dijo la directora Sissy Godwin en un comunicado.",business
"El campeón paralímpico de EE.UU., Hunter Woodhall, dijo que el oro olímpico de su esposa le dio la confianza necesaria",Sofía Benavides,09/07/2024,"""Ver a Tara dominar absolutamente su deporte me dio tanta confianza que pude decir que sé que hemos hecho lo mismo y que si ella es capaz de salir y hacer eso, entonces sé que soy capaz de hacer lo mismo"".
""Nos comunicamos mucho y sabemos que ninguno de los dos es perfecto, pero sabemos que nos hacemos mejores mutuamente"", agregó.
Woodhall nació con un tobillo derecho fusionado y una afección llamada hemimelia peronea, que afectó su pierna izquierda.
Cuando se le pidió que imaginara que hablaba con su yo más joven con su medalla de oro paralímpica colgada del cuello, Woodhall se emocionó y dijo: ""Le diría lo especial que es y lo genial que es ser diferente"".
""Le diría que crea en sí mismo"", agregó, asintiendo con la cabeza mientras se le quebraba la voz.",business
El doctor Gupta explica el cambio a la regla del kickoff para la nueva temporada de la NFL,,09/06/2024,"La NFL ha introducido esta temporada uno de los cambios de reglas más drásticos de las últimas décadas con el objetivo de hacer más seguras las patadas de salida, una jugada que históricamente conlleva un mayor riesgo de lesiones en la cabeza.
El Dr. Sanjay Gupta de CNN explica por qué la NFL espera que los cambios reduzcan el riesgo de conmociones cerebrales.",business
Decenas de personas enferman en varios estados por un brote de salmonela vinculado a huevos retirados del mercado,Gonzalo Zegarra,09/07/2024,"Los huevos etiquetados Milo's Poultry Farms y Tony's Fresh Market han sido retirados del mercado debido a contaminación por salmonela.
De los 63 casos sobre los que se dispone de información, 24 han sido hospitalizados.
Los huevos están etiquetados con Milo's Poultry Farm o Tony's Fresh Market.
Las personas deben lavar los objetos y superficies que puedan haber estado en contacto con los huevos retirados con agua caliente y jabón o en un lavavajillas.
Los niños, los ancianos y las personas con sistemas inmunitarios debilitados tienen más probabilidades de enfermar gravemente.",business
¿Por qué algunas personas otorgan sentimientos humanos a objetos inanimados? Lo que dicen los expertos,Julia Hernández,09/07/2024,"Antropomorfizar es la acción de atribuir comportamientos o sentimientos humanos a animales u objetos, los cuales no pueden experimentar las mismas emociones que los humanos.
La razón exacta por la que la gente hace esto no está clara, pero los expertos tienen algunas conjeturas.
Cuando Wilde compartió el vídeo por primera vez, pensó que tal vez era la única que experimentaba emociones por los sencillos objetos.
O tal vez provenga de sentimientos que tenía de niña de sentirse excluida o no incluida y que no quiere que nadie más sienta, dijo.
""Me pregunto si tengo esa necesidad de asegurarme de que nadie se siente abandonado... así que eso se traduce en que el plátano se queda solo en el mostrador"".",business
Las vacunas actualizadas contra el covid-19 ya no son gratuitas para las personas sin seguro en Estados Unidos,Belén Liotti,09/06/2024,"Vacuna actualizada contra covid-19: esto es lo que debe saber 1:32(CNN) -- El lanzamiento de las vacunas actualizadas contra el covid-19 comenzó en Estados Unidos pero, por primera vez, las inyecciones ya no serán gratuitas para las personas sin seguro en su farmacia local.
La farmacia CVS ha publicado información en su sitio web sobre cuánto podrían costar las vacunas contra el covid-19 para las personas sin seguro, dijo la portavoz de CVS, Amy Thibault.
Continuaremos trabajando con los pacientes elegibles para la vacuna contra el covid-19 para determinar el mejor y más rentable modo de recibirla”.
“Esperamos que el suministro en los estados siga aumentando”, dijo el portavoz.
La temporada pasada, se estima que el 22,5% de los adultos y el 14,4% de los niños estaban completamente vacunados contra el covid-19 con vacunas actualizadas.",business
Cuatro razones por las que puedes ser un “imán” para los mosquitos,,09/05/2024,"En el programa ""Dr. Sanjay Gupta On Call"" de esta semana, el corresponsal médico en jefe de CNN explica por qué puede que seas un “imán para los mosquitos” y qué puedes hacer al respecto.",business
La gente está molesta con la Generación Z por tomar fotos de las bandejas de seguridad del aeropuerto. Esto es lo que realmente está pasando,,09/08/2024,"(Sí, el “fridgescaping”, que implica almacenar flores y marcos de fotos junto a tu mantequilla y huevos, ahora es una moda).
El periódico británico Metro dijo que “la tendencia que induce ansiedad” corre el riesgo de convertirte en la persona más odiada del aeropuerto.
En 2018, un estudio europeo encontró que las bandejas del aeropuerto son la parte menos higiénica del aeropuerto, llevando más gérmenes que los baños.
“Si te preguntas cuál es el punto de esto, el punto es que es divertido y que es arte”, dice.
“Es una forma realmente divertida de expresar mi amor por la moda y las compras de segunda mano y la dirección artística”.",business
"Descubre las maravillas que ofrece Santiago, Chile",,09/07/2024,"Conoce junto a Alejandra Oraa los lugares más representativos de Santiago de Chile, desde su arquitectura hasta una de las casas más famosas del país, que perteneció al legendario poeta Pablo Neruda.",business
Las 3 noticias destacadas de la tarde del 6 de septiembre en CNN en Español,,09/06/2024,"El caso contra el Mayo Zambada pasa a Nueva York.
La reforma judicial en México avanza entre protestas.
Se desatan manifestaciones en Honduras, tras un video que muestra al cuñado de la presidenta Xiomara Castro supuestamente reunido con narcotraficantes.",business
Descubre la belleza del caribe en República Dominicana,,09/06/2024,"Desde las majestuosas playas de República Dominicana, Alejandra Oraa nos invita a descubrir la belleza del mar del caribe a través de actividades como el Surf y Snorkel.",business
OPINIÓN | Más allá de la vida: el mercadeo de celebridades fallecidas,Luis Ernesto Quintana Barney,07/31/2024,"El marketing de famosos fallecidos es un negocio mundial multimillonario y causa muy distintas reacciones en el público.
Y esto es solo una pequeña muestra del gran negocio que es usar celebridades ya fallecidas en comerciales u objetos de venta.
Este mercadeo, tan presente en todo el mundo, incluye al uso de la imagen, el nombre y otros aspectos de la personalidad de celebridades fallecidas para promocionar productos, servicios o marcas.
Las campañas suelen capitalizar en la nostalgia y el legado cultural de estas figuras.
Algunos argumentan que es una forma de explotación y que no respeta la memoria de la persona.",business
OPINIÓN | ¿Por qué las niñas – muy pequeñas- están obsesionadas con la belleza?,Luis Ernesto Quintana Barney,02/01/2024,"¿Por qué las niñas –muy pequeñas– están obsesionadas con la belleza?
- que, en muchos casos, hasta les pueden producir alergias u otras reacciones negativas en la piel, según los dermatólogos.
Este nuevo fenómeno social – que está siendo muy comentado en los medios y en las redes sociales- me ha impresionado mucho.
Este comentario no es de ninguna manera una crítica a mi nieta, pues es una niña obediente, buenísima y es mi adoración.
Sé que en Madrid ya está ocurriendo… y en Londres… y muchas niñitas ya están con los ojos pintados y grandes chapas de rubor en las mejillas.",business
"Reverenciado por Hitler, este pintor cayó en desgracia. Ahora el mundo del arte vuelve a poner los ojos en Caspar David Friedrich",Melissa Velásquez Loaiza,01/30/2024,"(CNN) -- Cuando Caspar David Friedrich murió en la pobreza en 1840, el mundo del arte contemporáneo casi lo olvidó.
La Alte Nationalgalerie de Berlín inaugura su exposición el 19 de abril, y en agosto lo seguirán el Albertinum y el Kupferstich-Kabinett de Dresde.
También están previstas exposiciones en ciudades más pequeñas como Weimar y Greifswald, la ciudad natal de Friedrich en el extremo noreste del país.
La exposición de Berlín, “Caspar David Friedrich: Paisajes infinitos”, examinará el papel de la Nationalgalerie en el redescubrimiento del artista a principios del siglo XX.
El año pasado una exposición en el Kunstmuseum de Winterthur fue tan popular que el museo tuvo que advertir a los visitantes en su página web sobre los tiempos de espera para entrar.",business
El mullet: ¿por qué está en auge este controvertido corte de pelo?,,01/18/2024,"Conocido y denostado durante mucho tiempo por su reputación de ""negocio por delante, fiesta por detrás"", el mullet es en realidad uno de los cortes de pelo más atemporales y versátiles.
En otras palabras, desconcertante para la gran sociedad, incluso en la antigüedad.
Al entrar en el siglo XXI, el mullet había sido descartado por las clases creativas.
En su lugar, había evolucionado, en la pantalla y en la cultura en general, hacia un estilo exagerado que ""telegrafiaba estos valores regresivos e hipermasculinos"", afirma Glasscock.
Pero esa dedicación puede haber desempeñado un papel integral en el renacimiento del mullet a partir de 2024.",business
OPINIÓN | ¿Se perdió la costumbre de leer un libro de papel?,,09/06/2024,"Con el uso de la amplia información digital en la actualidad, nuestro estilo de vida cambió profundamente.
Muchas personas eligen leer cada vez más en dispositivos electrónicos.
¿Hemos perdido el placer de leer un libro?
Mari Rodríguez Ichaso, especialista en moda y colaboradora de CNN, analiza la situación.",business
OPINIÓN | ¿Cuáles son las opciones que tiene Edmundo González en Venezuela?,,09/05/2024,"El panorama sociopolítico en Venezuela es cada vez más complicado.
En los últimos días el Ministerio Público venezolano emitió una orden de arresto contra el líder opositor Edmundo González Urrutia.
El colaborador de CNN, Jorge Dávila Miguel, analiza en Café CNN cuáles son las alternativas que tiene González Urrutia.",business
OPINIÓN | ¿Hemos perdido el placer de leer?,Ángela Reyes Haczek,09/03/2024,"Fue una gran emoción y una enorme alegría entrar en tres librerías muy diferentes entre sí.
Allí no se pueden mencionar los libros digitales – ¡sacrilegio!- y se especializan en biografías y libros históricos.
Me gustaría saber si en todo el mundo hemos perdido -o no- el placer de la lectura.
También pienso que en la vida tan compleja de hoy, existe una menor cantidad de tiempo libre para sentarnos a leer un gran libro.
Y ojalá que la gente lo pudiera hacer, pero quizás su prioridad es informarse en redes sociales y leer 20 apps de tipo más frívolo y que los libros no están en su mente.",business
OPINIÓN | Jorge Castañeda: Es evidente que Maduro no tiene la intención de mostrar las actas,,08/28/2024,"Transcurrido un mes de las elecciones en Venezuela, la Comisión Interamericana de Derechos Humanos (CIDH) reiteró en un informe que el país sudamericano sufre una ""grave crisis"" por el uso arbitrario de la fuerza, las detenciones arbitrarias y las restricciones de libertades de los ciudadanos y a la labor de las organizaciones de Derechos Humanos.
En apenas un mes, ¿qué efectos ha tenido la crisis venezolana en la izquierda latinoamericana?
Jorge Castañeda, excanciller de México y colaborador de CNN, analiza la situación.",business
OPINIÓN | Jorge Dávila Miguel|¿Puede escalar el conflicto entre Israel y Hamas?,,08/28/2024,"Jorge Dávila Miguel, periodista y colaborador de CNN, analiza si las negociaciones que se están llevando adelante por cese del fuego en Gaza ayudarán a evitar una escalada del conflicto en Medio Oriente",business
OPINIÓN | Jorge Castañeda: Al embajador de EE.UU. en México le ordenaron condenar la reforma judicial,,08/22/2024,"Jorge Castañeda, excanciller de México y colaborador de CNN, comenta sobre el pronunciamiento del embajador de EE.UU.
en México sobre la reforma judicial que impulsa el presidente López Obrador y que ha llevado a un paro de labores parciales en el poder judicial.
Castañeda dice que las palabras del diplomático son resultado de una llamada de atención del gobierno de EE.UU.
para fijar una postura que exponga los riesgos de dicha reforma.",business
OPINIÓN | Jorge Castañeda: Maduro sabe que al mostrar las actas pierde la elección,,08/22/2024,"Jorge Castañeda, excanciller de México y colaborador de CNN, comenta sobre el fallo del Tribunal Supremo de Justicia de Venezuela que validó el resultado dado por el Consejo Nacional Electoral (CNE) que dio como ganador a Nicolás Maduro en las elecciones del 28 de julio.
Para Castañeda es momento de que México, Colombia y Brasil tomen cartas en el asunto y trabajen en otra estrategia para lograr la democracia en Venezuela.",business
"Opinión | La Convención Demócrata, último paso antes de las elecciones de EE.UU.",Cnnespañol Sjv,08/17/2024,"Así deben ver el inicio de la Convención Nacional del Partido Demócrata en Chicago.
El también abogado Manuel Retureta explica que “Biden ganó más de 3.800 delegados, que, aunque lo respaldaron, no estaban obligados a votar por él en la Convención.
Las reglas del Comité Nacional Demócrata no especifican que los delegados deban votar, en este caso, por el presidente Biden.
Surge una duda, ¿por qué si Harris retuvo el mismo equipo de Biden, la campaña luce tan diferente?
A partir del jueves 22 de agosto, cuando Harris acepte la candidatura demócrata a la presidencia, quedarán 75 días para las elecciones del 5 de noviembre, pero la votación comenzará antes.",business
OPINIÓN | Soluciones audaces para Venezuela,Cnnespañol Sjv,08/17/2024,"(CNN Español) -- Tras casi tres semanas de las elecciones en Venezuela, se han estancado las negociaciones internacionales para buscar una salida del atolladero en el que se encuentra la sociedad de ese país.
Mientras, las Naciones Unidas informan que los resultados ofrecidos por el CNE carecen de sustento, y que la falsificación de las actas sería casi imposible.
En segundo lugar, todos participarían en una reunión extraordinaria de la OEA para invocar la Carta Democrática Interamericana, y aplicar sanciones a Venezuela de diverso tipo.
Pero el gran actor ausente en la danza de las negociaciones estas semanas ha sido el gobierno de La Habana.
Pero mucho ha cambiado desde entonces en Cuba, en Venezuela, en Estados Unidos y en Brasil.",business
OPINIÓN | Jorge Castañeda: Sheinbaum no tenía necesidad de invitar a Putin a México,,08/14/2024,"Claudia Sheinbaum Pardo ya es la presidenta electa de México tras la validación de los resultados de la elección del 2 de junio por parte del Tribunal Electoral Federal, que desechó las impugnaciones presentadas por la oposición.
Con ello, se abre un nuevo capítulo para la próxima mandataria, que es preparar ya el escenario de su toma de posesión el próximo 1 de octubre.
Sobre este tema, Gabriela Frías conversa con Jorge Castañeda, excanciller de México y colaborador de CNN.",business
FOTOS | Los famosos que han muerto en 2024,,N/A,"Desde la leyenda del fútbol Franz Beckenbauer a Glynis Johns, actriz británica recordada por su papel de Mrs. Banks en “Mary Poppins”, estos son algunos de los famosos que han muerto en lo que va de 2024.",business
"Así es el hotel más angosto del mundo, ubicado en Indonesia","Por Melissa Velásquez Loaiza, Melissa Velásquez Loaiza",11/15/2023,El reproductor de video fue lento al cargar el contenido El contenido del video nunca se cargó El anuncio se congeló o no terminó de cargarse El contenido del video no comenzó después del anuncio El audio del anuncio estaba demasiado alto Otros asuntosAnuncio nunca cargado El anuncio impidió o ralentizó la carga de la página El contenido se movió mientras se cargaba el anuncio El anuncio era repetitivo a los anuncios que he visto anteriormente Otros asuntos,business
Estos son los ganadores del Nobel de Paz de las últimas décadas,Por Posadasimon,10/06/2023,El reproductor de video fue lento al cargar el contenido El contenido del video nunca se cargó El anuncio se congeló o no terminó de cargarse El contenido del video no comenzó después del anuncio El audio del anuncio estaba demasiado alto Otros asuntosAnuncio nunca cargado El anuncio impidió o ralentizó la carga de la página El contenido se movió mientras se cargaba el anuncio El anuncio era repetitivo a los anuncios que he visto anteriormente Otros asuntos,business
FOTOS l Las nuevas especies descubiertas por la ciencia en 2023,"Por Luis Ernesto Quintana Barney, Luis Ernesto Quintana Barney",12/30/2023,El reproductor de video fue lento al cargar el contenido El contenido del video nunca se cargó El anuncio se congeló o no terminó de cargarse El contenido del video no comenzó después del anuncio El audio del anuncio estaba demasiado alto Otros asuntosAnuncio nunca cargado El anuncio impidió o ralentizó la carga de la página El contenido se movió mientras se cargaba el anuncio El anuncio era repetitivo a los anuncios que he visto anteriormente Otros asuntos,business
"الأمن الأردني يُعلن إغلاق جسر الملك حسين الإثنين أمام حركة السفر والشحن ""حتى إشعار آخر""",,09/09/2024,"(CNN) – أعلن الأمن العام الأردني إغلاق جسر الملك حسين الحدودي الإثنين، أمام حركة المسافرين والشحن، وفق ما نقلته قناة ""المملكة"" الرسمية الأردنية.
وأكد الأمن العام إغلاق الجسر الحدودي مع الضفة الغربية "" أمام المغادرين والقادمين والشحن اليوم حتى إشعار آخر"".
ويأتي هذا القرار بعد يوم من تنفيذ سائق شاحنة أردني عملية إطلاق نار أودت بحياة 3 إسرائيليين عند معبر اللنبي الحدودي.
وكان الأمن الأردني قد أعلن مساء الأحد عن فتح جسر الملك حسين الإثنين "" أمام حركة السفر عند الساعة العاشرة صباحاً مع الإبقاء على إغلاقه أمام حركة الشحن"".",business
ما هو السبيل للوصول إلى حل الدولتين؟ إيهود أولمرت وناصر القدوة يوضحان لـCNN رأيهما,,09/09/2024,"دعنا نبدأ بتقديم بديل، بديل لمستقبل أفضل، لحياة أفضل، للشعب الفلسطيني وأطفالهم، لتعليم أفضل، لوضع اقتصادي أفضل، لفرص أفضل، وما إلى ذلك.
لقد قلت مراراً وتكراراً إن هذه الحرب سوف تؤدي إلى تشكيل حكومة إسرائيلية جديدة، وقيادة فلسطينية جديدة، وحماس جديدة.
هذا ما فعله مناحیم بيغين عندما انسحب بالكامل من سيناء.
سيؤدي هذا إلى إنشاء حكومة جديدة.
فريد زكريا: هل تريد الترشح؟إيهود أولمرت: أريد قيادة جديدة في دولة إسرائيل وسنرى ما سيحدث.",business
شقيق ماهر الجازي منفذ عملية معبر اللنبي يتحدث عن الدوافع المحتملة للهجوم,,09/09/2024,"(CNN) -- قال شادي الجازي، شقيق المسلح المشتبه به في مقتل ثلاثة إسرائيليين بالرصاص عند معبر اللنبي الحدودي بين الضفة الغربية المحتلة والأردن، إن غضب شقيقه من العنف في قطاع غزة ربما كان الدافع وراء الهجوم.
وقالت السلطات الأردنية إن التحقيق الأولي حدد هوية ماهر ذياب حسين الجازي، وهو مواطن أردني، باعتباره المشتبه به في إطلاق النار.
لكن حزنه على ما يحدث للأمة الإسلامية، ورؤية كل عمليات القتل في غزة، وكل واحد منا يشعر بالعاطفة تجاه إخوانه، ربما كان هذا حافزًا له"".
ولم يوضح الجازي أي خلفية عن آراء شقيقه أو تصرفاته السابقة أو كلماته التي من شأنها أن تشير إلى هذه النتيجة.
وألمحت وزارة الخارجية الأردنية إلى ارتباط أعمال العنف في المنطقة بالتطرف، داعية إلى سلام دائم يحمي ""المنطقة كلها من تبعات استمرار التدهور الذي يكرس اليأس والتطرف، ويفجر دوامات العنف والقتل ويدفع ثمنه الجميع"".",business
